id;base;timestamp;usd;gbp;chf
1;EUR;2024-07-01T17:46:22.038802;1.26;0.72;0.93
2;EUR;2024-07-01T18:13:29.624461;1.27;0.71;0.94
3;EUR;2024-07-01T18:30:09.31474;1.28;0.72;0.96
4;EUR;2024-07-01T18:42:38.085772;1.26;0.74;0.93
5;EUR;2024-07-01T18:49:03.788228;1.26;0.73;0.95
6;EUR;2024-07-01T18:55:06.579321;1.26;0.72;0.97
7;EUR;2024-07-02T02:57:15.059302;1.28;0.73;0.93
8;EUR;2024-07-02T03:47:50.451872;1.26;0.72;0.93
9;EUR;2024-07-02T03:57:50.831046;1.26;0.75;0.96
10;EUR;2024-07-02T04:17:51.211604;1.26;0.73;0.93
11;EUR;2024-07-02T04:27:51.588383;1.26;0.72;0.93
12;EUR;2024-07-02T04:37:51.962476;1.26;0.72;0.95
13;EUR;2024-07-02T04:47:52.33858;1.26;0.72;0.96
14;EUR;2024-07-03T04:57:52.702085;1.26;0.74;0.93
15;EUR;2024-07-03T05:07:53.076936;1.26;0.73;0.93
16;EUR;2024-07-03T05:17:53.439664;1.26;0.72;0.95
17;EUR;2024-07-03T05:27:53.80964;1.26;0.72;0.96
18;EUR;2024-07-03T05:37:54.19023;1.26;0.73;0.93
19;EUR;2024-07-03T05:47:54.564649;1.27;0.74;0.93
20;EUR;2024-07-03T05:57:54.932193;1.28;0.72;0.95
